type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,63:B1:8E:7B:DC:A3,-93,26,0,0,0,0,0,0,0,0,0,-96,0,8,0,20958,0,672,65,0,0.320518,128,[-96 2 42 65 0 -11 3 -47 -4 -8 -10 4 -1 -8 -2 -3 5 2 -3 -2 6 3 0 0 -2 -1 3 0 2 3 -1 -3 8 1 0 3 -3 0 -6 -5 2 -5 -1 0 1 -5 1 0 1 -5 1 -2 -5 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -2 2 1 -1 2 -1 -1 1 0 2 8 -1 2 -1 -3 -4 5 2 4 -3 -1 0 -3 1 0 2 -1 4 0 -1 8 -6 -9 -5 0 -2 1 0 -5 -1 4 -1 -5 -1 -1 -5 1 -1 4 -7 0 ]
CSI_DATA,PASSIVE,F1:B1:09:65:8E:C6,-94,13,0,0,0,0,0,0,0,0,0,-96,0,8,0,21754,0,2158,65,0,0.3503,128,[110 -24 -122 65 -4 2 10 0 3 3 -5 2 -2 4 -1 4 1 -7 1 -4 5 4 4 0 -4 0 -7 -4 -1 3 -3 -4 -7 -6 -3 4 0 6 1 4 8 -4 -7 0 0 -9 -4 -7 7 -3 4 -3 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 2 0 1 0 50 1 3 -2 2 -5 6 0 4 5 -10 4 5 -4 1 1 -2 -6 -3 -4 2 -5 7 -3 3 -1 3 -1 4 0 0 6 2 0 5 -6 0 7 -1 1 12 -1 2 1 2 -3 -11 ]
CSI_DATA,PASSIVE,E8:53:D9:78:FB:06,-91,8,0,0,0,0,0,0,0,0,0,-96,0,8,0,43385,0,894,65,0,0.38599,128,[126 -29 55 65 10 7 -5 2 -5 -4 1 1 2 -4 2 1 6 -10 2 -5 8 -3 -12 1 2 -7 -5 -3 6 -1 3 2 4 1 4 6 -4 -3 1 -1 8 -6 6 1 7 -6 9 -5 -2 -5 -1 -7 -4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 5 3 0 -3 1 -1 -3 -5 3 -1 -3 -1 1 0 -2 0 -2 1 1 3 2 1 -8 -6 4 1 -1 -5 -6 -6 5 10 2 -6 -3 2 -2 0 2 -11 -47 16 -20 -2 0 -2 -6 -6 -2 -5 ]
CSI_DATA,PASSIVE,B5:2D:FF:6B:A3:F3,-91,30,0,0,0,0,0,0,0,0,0,-96,0,8,0,44756,0,3680,65,0,0.422609,128,[96 14 -26 65 -9 2 1 7 -2 -8 8 0 0 -3 8 -3 -7 -6 -5 -5 -7 -4 -6 0 -1 4 -6 -2 -1 0 5 2 -3 7 -5 0 -4 4 -2 -5 -2 3 -7 -6 1 -7 -6 -2 0 -2 0 3 -2 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -1 -1 0 3 -5 -1 4 -5 4 2 0 -4 -1 -2 7 -3 6 3 2 0 -5 5 2 10 0 -5 -8 -2 -2 -5 1 4 -3 -6 -5 2 0 1 0 -4 -4 -9 -26 -8 -58 -6 -14 -4 -2 -6 -2 ]
CSI_DATA,PASSIVE,4E:96:B0:41:CC:9D,-90,14,0,0,0,0,0,0,0,0,0,-96,0,8,0,51027,0,2119,65,0,0.46003,128,[71 120 -124 65 -3 5 1 -3 -2 4 3 -5 -6 9 4 1 16 6 -21 -1 -34 4 -1 12 -2 4 -3 -7 0 0 -1 0 -7 0 -1 2 0 0 -4 -2 3 -3 3 -3 -3 0 -5 -1 -2 -3 3 -5 -4 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 -4 7 0 -2 7 1 4 2 1 1 -1 -5 -5 5 2 2 0 4 -10 -3 0 -7 2 -2 0 1 7 0 -1 0 2 3 -4 -9 -2 -8 4 6 -7 -11 1 3 -3 -1 1 -5 3 -2 -1 2 ]
CSI_DATA,PASSIVE,D4:F5:F8:0D:DF:44,-90,15,0,0,0,0,0,0,0,0,0,-96,0,8,0,145915,0,1318,65,0,0.496679,128,[38 101 82 65 4 2 -4 0 0 8 5 2 -1 -3 -14 1 19 -46 -4 -17 -5 2 1 -1 -3 -1 1 6 1 7 5 -5 3 -2 0 1 3 1 0 -3 5 0 0 10 -3 4 -6 -1 0 0 -2 -2 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 1 -3 -4 -1 -2 -4 -2 4 -2 -9 -5 -2 -5 -4 -3 5 5 0 3 2 6 -3 5 1 0 4 3 0 6 0 5 4 0 0 2 1 -4 1 0 -2 -11 3 -5 -2 -1 5 2 -4 -13 1 3 ]
CSI_DATA,PASSIVE,87:28:6E:3A:3E:4F,-91,15,0,0,0,0,0,0,0,0,0,-96,0,8,0,209749,0,2444,65,0,0.532888,128,[-116 -55 -104 65 0 4 8 -3 -5 2 1 0 1 -1 -6 0 -2 -5 2 -3 -3 -5 -4 -1 -7 6 1 -4 -6 1 -10 2 -1 0 1 1 1 3 -2 -6 -2 -2 -5 10 -3 5 3 0 1 -4 -2 0 0 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 1 3 -2 2 -4 3 -6 1 0 0 -4 4 0 -4 -3 4 -4 1 -1 -5 3 -1 0 -1 2 4 -5 34 -15 -2 0 -3 -4 2 2 -2 -3 5 2 -4 1 2 5 1 6 6 -2 -5 0 6 -1 ]
CSI_DATA,PASSIVE,DD:6D:B3:2C:93:BE,-91,12,0,0,0,0,0,0,0,0,0,-96,0,8,0,220514,0,3803,65,0,0.56959,128,[-37 -66 -19 65 8 14 3 -2 -2 1 -1 3 2 10 -2 -1 1 -6 6 6 3 -2 -1 -2 -8 -3 -3 10 12 11 -14 5 -10 8 -1 -2 1 -2 -4 -2 11 -9 -3 0 12 9 20 3 -9 15 3 -12 14 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 -8 -3 8 -3 -2 -3 -1 4 -1 9 -5 6 3 -4 -1 -4 -2 0 -4 2 2 3 0 1 8 1 0 -7 1 -1 2 2 7 -4 -1 2 -1 -4 9 -5 3 1 2 1 -1 -9 1 3 -3 0 ]
CSI_DATA,PASSIVE,9A:16:FF:7A:2C:66,-86,27,0,0,0,0,0,0,0,0,0,-96,0,8,0,241198,0,3829,65,0,0.606721,128,[-11 94 -17 65 1 -5 1 4 9 -1 1 4 0 -3 -5 4 -11 -1 -6 -11 0 2 -4 4 -1 4 -5 1 1 1 -4 6 -4 1 2 -3 1 4 -4 -1 0 1 9 -2 -17 -7 -4 -30 -18 -3 -18 -10 -25 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 1 0 -6 -5 0 3 -1 -5 2 2 -4 2 1 -4 -9 5 3 1 -6 -2 -3 -5 1 3 3 -2 7 -2 -2 5 -4 1 -1 -3 3 0 -5 -3 -3 -3 2 3 -2 -3 -1 2 -2 1 2 -5 -8 ]
CSI_DATA,PASSIVE,5E:EF:0B:C7:FE:59,-89,24,0,0,0,0,0,0,0,0,0,-96,0,8,0,308755,0,1088,65,0,0.644158,128,[64 4 68 65 -3 7 -2 3 -3 8 4 -10 5 -5 -7 1 -4 2 7 7 -1 1 -18 -2 -4 -10 0 -2 0 4 0 -11 4 -5 10 -4 -1 -6 5 -6 -1 -5 -1 3 -1 9 -5 7 2 -7 2 -4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 4 -7 -36 -34 -1 -3 -4 -3 3 1 1 -11 5 0 -1 1 5 4 -4 0 -1 1 0 4 2 3 -7 0 -2 -5 2 -7 -6 2 -2 1 -2 6 -1 -5 2 -1 -6 3 -1 0 0 5 9 0 ]
CSI_DATA,PASSIVE,78:73:55:67:26:7D,-91,15,0,0,0,0,0,0,0,0,0,-96,0,8,0,328385,0,2785,65,0,0.680754,128,[-31 26 -82 65 -5 -5 -5 -4 -5 1 4 2 7 6 -6 -4 0 2 -4 3 -1 0 -5 5 3 -1 0 7 3 -1 3 -3 2 0 2 -5 9 -2 4 0 2 -2 -6 -2 -4 1 -2 2 3 4 -4 2 2 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -4 -1 1 -4 -11 -5 0 0 4 5 -1 0 -6 -3 4 3 0 -5 0 3 -3 2 -2 -1 -3 3 -1 -3 -5 5 1 2 -8 0 -4 -28 -15 0 5 -1 3 -3 -5 -1 -4 2 0 0 0 -10 -5 ]
CSI_DATA,PASSIVE,6B:A2:46:54:1E:91,-88,10,0,0,0,0,0,0,0,0,0,-96,0,8,0,445924,0,2235,65,0,0.745614,128,[-69 -72 -117 65 -4 -6 -3 2 3 4 -5 -3 -9 0 4 3 5 -3 8 2 -5 2 -5 -3 -2 3 0 -7 0 1 6 4 -3 1 -2 8 8 -3 6 3 -4 -6 0 -7 41 -1 34 -15 37 -30 20 9 13 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -5 0 -1 -1 -1 4 4 3 -8 -2 -4 -2 -3 0 1 2 -2 -2 -1 -4 1 3 3 4 0 -8 6 -1 -5 -5 1 -6 -1 -4 1 -3 0 -1 2 9 0 2 -3 2 -3 5 2 -11 -6 2 -7 ]
CSI_DATA,PASSIVE,5C:94:86:DF:42:FE,-93,9,0,0,0,0,0,0,0,0,0,-96,0,8,0,447780,0,2765,65,0,0.773226,128,[-51 -38 -84 65 -1 -9 -3 -2 -2 -2 -1 -1 0 8 2 3 6 1 0 -2 -3 -9 1 -1 2 -10 1 4 -1 -1 6 8 2 -3 8 2 1 -2 8 -7 -7 -4 1 -6 -1 -5 -6 -2 -4 1 2 3 1 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -6 -8 8 -18 -28 -2 -13 0 -5 1 -7 4 -5 10 5 5 6 -1 -1 -1 -1 -3 -2 2 4 1 -1 5 -3 -3 4 -4 -2 3 -2 1 -6 2 -5 -5 -2 2 0 -2 4 -4 1 -4 6 -6 3 ]
CSI_DATA,PASSIVE,10:20:D0:3A:72:8F,-91,14,0,0,0,0,0,0,0,0,0,-96,0,8,0,475759,0,1633,65,0,0.810567,128,[97 22 102 65 -3 1 -2 1 2 -2 -5 -3 -4 -2 2 4 -1 0 -3 -2 3 4 -5 1 -3 -1 1 -4 -3 2 -3 3 4 0 1 3 0 1 -5 -3 3 -3 3 4 -2 3 1 -1 0 -1 -2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 2 1 7 -52 -1 -7 2 3 3 3 -2 -2 2 0 -3 -1 -1 -2 -9 0 1 -2 0 0 7 1 -3 0 -1 -2 6 -2 1 -1 -3 -5 -3 4 -2 1 5 -4 -4 -1 2 -7 -2 6 2 4 ]
CSI_DATA,PASSIVE,05:9A:9F:A6:93:56,-90,26,0,0,0,0,0,0,0,0,0,-96,0,8,0,523452,0,1731,65,0,0.846778,128,[-61 54 108 65 6 -1 -8 36 -6 6 1 2 -8 2 1 3 -1 3 -2 3 -8 1 -1 -1 2 -3 -1 -3 0 -1 -1 -7 -10 5 -1 -3 -4 -2 -2 -1 -1 -6 0 -1 2 -2 0 -4 3 -1 -3 2 1 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 1 -1 0 -1 -5 0 4 -1 -7 -2 0 -1 1 -6 -6 -1 5 3 -1 3 -3 -4 -2 2 -1 0 2 3 -5 3 -3 0 1 6 -1 -4 0 2 0 3 -5 -1 2 2 5 9 -4 -1 -5 -5 3 ]
