type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,F5:47:35:A6:C9:60,-89,13,0,0,0,0,0,0,0,0,0,-96,0,8,0,142760,0,1188,65,0,0.441256,128,[-92 68 74 65 4 1 -2 -1 5 -1 5 -2 -1 -6 1 -4 -4 5 0 -4 -3 -5 0 0 -4 3 -2 4 -1 6 -7 0 6 2 3 4 1 -10 -1 -1 2 2 -3 -2 -3 -9 -9 -1 -8 -3 -7 1 -7 -18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 -3 -1 0 0 -2 1 1 1 -2 1 -2 1 -1 -5 -3 -2 -3 2 5 -3 -5 0 3 2 -1 3 4 0 -3 -1 1 1 0 -1 1 1 3 -8 -8 -2 1 -2 -4 2 -4 3 -1 9 1 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-71,11,1,7,0,1,1,1,0,0,0,-96,0,8,0,248560,0,94,0,0,0.545962,256,[94 -32 5 0 23 7 23 7 22 7 24 9 22 6 22 7 24 7 24 7 26 6 24 6 24 4 25 5 27 8 25 6 26 7 25 7 25 8 24 7 26 9 23 7 22 9 23 9 22 11 23 11 21 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 6 15 6 16 7 14 7 15 6 15 9 17 8 19 9 16 9 16 10 17 10 17 11 17 11 18 9 18 10 19 10 19 11 18 9 19 9 21 9 21 10 21 7 23 9 22 7 22 8 23 7 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-71,11,1,7,0,1,1,1,0,0,0,-96,0,8,0,250124,0,94,0,0,0.573411,256,[94 -32 5 0 25 -5 23 -4 24 -3 25 -5 25 -6 27 -5 24 -6 24 -5 24 -7 25 -5 25 -5 25 -6 26 -7 25 -7 27 -7 26 -5 25 -7 26 -5 26 -4 25 -4 24 -3 23 -1 23 1 25 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 -2 17 -3 17 -2 17 -3 17 0 18 1 20 -1 19 1 18 1 18 1 20 0 21 2 18 0 20 1 21 0 20 0 19 1 22 1 22 -3 20 -1 23 -1 22 -4 24 -2 25 -4 25 -3 26 -1 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-71,11,1,7,0,1,1,1,0,0,0,-96,0,8,0,251050,0,94,0,0,0.612275,256,[94 -32 5 0 -10 26 -11 23 -12 23 -13 22 -11 23 -9 21 -9 23 -9 23 -9 24 -8 23 -7 24 -8 25 -6 27 -7 25 -9 25 -8 24 -8 23 -8 24 -9 24 -11 23 -10 21 -10 23 -10 22 -12 23 -12 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 14 -12 12 -11 11 -12 14 -13 13 -11 12 -13 12 -14 15 -13 14 -14 15 -13 13 -14 15 -13 14 -14 16 -16 15 -13 15 -13 17 -12 18 -11 17 -11 19 -11 19 -15 20 -12 19 -13 19 -12 20 -13 21 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-71,11,1,7,0,1,1,1,0,0,0,-96,0,8,0,251210,0,94,0,0,0.655666,256,[94 -32 5 0 -12 -24 -13 -23 -11 -22 -15 -23 -13 -21 -15 -23 -14 -23 -14 -22 -14 -21 -13 -22 -14 -22 -14 -23 -15 -23 -13 -24 -14 -24 -12 -23 -11 -22 -12 -25 -12 -23 -11 -23 -10 -24 -9 -24 -9 -24 -9 -24 -7 -23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -14 -7 -16 -7 -16 -7 -15 -7 -17 -9 -16 -8 -18 -7 -19 -9 -19 -6 -20 -4 -20 -6 -21 -7 -21 -6 -23 -7 -21 -8 -19 -9 -23 -9 -21 -10 -20 -9 -21 -8 -22 -11 -22 -10 -21 -11 -22 -11 -21 -11 -21 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-71,11,1,7,0,1,1,1,0,0,0,-96,0,8,0,251388,0,94,65,0,0.702652,256,[94 -32 5 65 -26 6 -26 5 -24 7 -24 6 -25 5 -25 9 -23 7 -24 8 -25 9 -24 8 -25 7 -26 10 -27 7 -27 10 -26 9 -25 8 -23 8 -26 6 -26 6 -25 5 -25 7 -25 5 -23 5 -26 4 -24 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -18 3 -17 3 -18 0 -20 -2 -18 2 -17 0 -19 0 -21 -1 -20 1 -21 0 -18 1 -21 -1 -20 1 -22 1 -21 2 -22 1 -24 2 -24 2 -23 2 -21 4 -23 3 -23 4 -24 5 -25 5 -25 6 -25 5 ]
CSI_DATA,PASSIVE,28:72:98:4C:4D:8E,-42,11,1,7,0,1,1,1,1,0,1,-96,2,8,0,279242,0,386,65,0,0.743651,384,[-126 33 24 65 34 1 34 2 34 3 32 4 29 4 25 4 21 3 17 1 13 -2 9 -5 6 -8 3 -12 2 -15 2 -19 2 -22 3 -24 5 -24 6 -24 8 -23 9 -21 9 -18 9 -16 8 -13 7 -10 5 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -17 13 -16 10 -15 8 -12 7 -9 7 -6 8 -1 10 3 13 6 17 8 22 8 26 8 30 7 33 5 35 3 35 1 33 0 31 0 28 0 23 2 18 4 13 7 8 12 4 17 1 21 -1 25 -2 ]
CSI_DATA,PASSIVE,80:EA:07:46:4D:8E,-42,11,1,7,0,1,1,1,1,0,1,-96,1,8,0,279507,0,182,0,0,0.781795,384,[-74 96 11 0 -31 16 -33 14 -33 13 -32 11 -29 8 -25 7 -21 6 -16 6 -12 7 -7 8 -3 10 1 12 4 14 6 17 7 20 6 22 6 24 4 24 2 24 0 22 -1 20 -2 17 -3 14 -2 11 -2 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -20 8 -19 7 -15 6 -13 3 -12 -1 -11 -5 -10 -10 -11 -15 -12 -19 -15 -22 -19 -24 -23 -24 -26 -23 -29 -22 -30 -18 -29 -16 -28 -14 -25 -13 -21 -11 -16 -11 -11 -12 -4 -14 1 -17 7 -20 11 -24 14 ]
CSI_DATA,PASSIVE,64:9E:31:C1:F3:37,-46,11,0,0,0,0,0,0,0,0,0,-96,0,8,0,315158,0,28,0,0,0.824494,128,[28 -64 1 0 -6 -27 -6 -27 -7 -25 -7 -25 -7 -24 -9 -24 -9 -23 -9 -22 -10 -22 -11 -22 -11 -21 -11 -21 -12 -22 -11 -22 -11 -23 -10 -22 -9 -22 -8 -22 -7 -21 -6 -21 -5 -20 -5 -19 -4 -20 -3 -19 -1 -19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -16 -4 -17 -4 -17 -3 -18 -3 -18 -2 -19 -1 -20 -1 -20 0 -21 1 -22 1 -23 1 -23 2 -23 1 -23 1 -22 1 -23 0 -23 -1 -23 -2 -23 -2 -24 -3 -24 -4 -25 -4 -25 -5 -27 -7 -27 -8 -27 ]
CSI_DATA,PASSIVE,54:EF:44:5D:59:27,-72,11,1,5,0,1,1,1,0,0,1,-96,0,8,0,359042,0,94,0,0,0.869055,256,[94 -32 5 0 -1 -25 -4 -24 -2 -24 -3 -25 -4 -24 -4 -26 -4 -26 -4 -27 -5 -25 -6 -27 -6 -27 -3 -27 -5 -24 -6 -27 -5 -27 -4 -27 -2 -27 -2 -27 -4 -26 -4 -26 -3 -26 -1 -24 1 -26 0 -24 1 -25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -19 3 -18 3 -16 3 -15 5 -11 4 -16 2 -21 3 -19 1 -19 5 -20 4 -21 4 -19 5 -19 3 -21 3 -20 2 -20 0 -20 3 -22 3 -22 2 -21 0 -24 1 -25 0 -24 -2 -25 1 -24 -1 -26 ]
